Unnamed: 0,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
73,0.675,0.26,2.1,0.084,43.0,0.9976,3.31,0.53,9.2,0
74,0.32,0.54,2.5,0.094,83.0,0.9984,3.28,0.82,9.6,0
75,0.41,0.64,2.2,0.093,42.0,0.9986,3.54,0.66,10.5,0
77,0.785,0.0,2.4,0.104,30.0,0.9966,3.52,0.55,10.7,1
78,0.75,0.12,2.0,0.086,80.0,0.9958,3.38,0.52,10.1,0
79,0.625,0.2,1.5,0.08,119.0,0.9972,3.16,1.12,9.1,0
80,0.45,0.2,1.6,0.069,15.0,0.9958,3.41,0.56,9.2,0
81,0.43,0.7,1.9,0.4639999999999999,67.0,0.9974,3.13,1.28,9.4,0
82,0.5,0.47,2.0,0.086,73.0,0.997,3.36,0.57,9.1,0
83,0.67,0.26,1.8,0.401,51.0,0.9969,3.16,1.14,9.4,0
84,0.3,0.48,1.8,0.069,61.0,0.9959,3.44,0.78,10.3,1
85,0.55,0.15,2.2,0.076,40.0,0.9961,3.41,0.59,10.1,0
86,0.49,0.28,1.9,0.11,136.0,0.9972,2.93,1.95,9.9,1
87,0.49,0.26,1.9,0.062,31.0,0.9966,3.39,0.64,9.6,0
88,0.39,0.44,2.1,0.107,125.0,0.9978,3.14,1.22,9.5,0
89,0.62,0.08,1.8,0.076,24.0,0.9978,3.48,0.53,9.0,0
90,0.52,0.26,1.9,0.079,140.0,0.9964,3.23,0.54,9.5,0
92,0.49,0.29,2.0,0.11,133.0,0.9972,2.93,1.98,9.8,0
94,1.02,0.04,1.4,0.045,85.0,0.9938,3.75,0.48,10.5,0
95,0.6,0.17,2.3,0.0579999999999999,106.0,0.9932,3.85,0.6,12.9,1
96,0.775,0.0,3.0,0.102,23.0,0.9965,3.45,0.56,10.7,0
97,0.5,0.25,2.0,0.07,22.0,0.9963,3.25,0.63,9.2,0
98,0.9,0.06,2.5,0.079,10.0,0.9967,3.39,0.56,9.8,0
99,0.545,0.18,1.9,0.08,35.0,0.9972,3.3,0.59,9.0,1
100,0.61,0.3,2.1,0.084,50.0,0.9972,3.4,0.61,10.2,1
101,0.5,0.3,1.9,0.075,22.0,0.9959,3.31,0.56,10.4,1
103,0.575,0.22,2.1,0.077,65.0,0.9967,3.29,0.51,9.2,0
104,0.49,0.24,2.2,0.07,36.0,0.996,3.33,0.48,9.4,0
106,0.41,0.68,1.7,0.467,69.0,0.9973,3.08,1.31,9.3,0
107,0.63,0.31,1.7,0.088,64.0,0.9969,3.46,0.79,9.3,0
108,0.33,0.53,2.5,0.091,80.0,0.9976,3.37,0.8,9.6,1
109,0.785,0.52,2.0,0.122,153.0,0.9969,3.21,0.69,9.3,0
110,0.56,0.19,1.8,0.104,47.0,0.9964,3.19,0.93,9.5,0
111,0.62,0.09,2.2,0.084,108.0,0.9964,3.15,0.66,9.8,0
112,0.6,0.1,2.2,0.085,111.0,0.9964,3.15,0.66,9.8,0
113,0.31,0.44,2.3,0.08,46.0,0.9988,3.32,0.67,9.7,1
115,0.4,0.31,2.2,0.09,62.0,0.9966,3.07,0.63,10.5,1
116,0.54,0.28,1.9,0.077,40.0,0.9978,3.39,0.61,10.0,1
117,0.56,0.12,2.0,0.0819999999999999,28.0,0.997,3.37,0.5,9.4,1
118,0.55,0.04,2.2,0.119,56.0,0.9962,3.21,0.6,10.9,1
119,0.69,0.08,1.8,0.0969999999999999,89.0,0.9959,3.34,0.54,9.2,1
120,1.07,0.09,1.7,0.178,89.0,0.9962,3.3,0.57,9.0,0
122,0.695,0.0,2.5,0.075,13.0,0.998,3.49,0.52,9.2,0
123,0.71,0.0,2.6,0.08,34.0,0.9976,3.44,0.53,9.5,0
124,0.5,0.17,1.6,0.0819999999999999,102.0,0.996,3.39,0.48,9.5,0
125,0.62,0.04,1.9,0.146,90.0,0.9984,3.16,0.7,9.4,0
126,1.33,0.0,1.7,0.081,12.0,0.9964,3.53,0.49,10.9,0
127,1.33,0.0,1.8,0.0819999999999999,12.0,0.9964,3.54,0.48,10.9,0
128,0.59,0.16,1.8,0.065,16.0,0.9962,3.42,0.92,10.5,1
129,0.38,0.15,1.8,0.072,19.0,0.9955,3.42,0.57,9.4,0
130,0.745,0.56,2.0,0.118,134.0,0.9968,3.24,0.66,9.4,0
131,0.5,0.09,2.3,0.049,99.0,0.9937,3.63,0.63,13.0,0
133,0.5,0.01,1.5,0.06,26.0,0.9952,3.4,0.58,9.8,1
134,1.04,0.05,2.2,0.084,29.0,0.9959,3.22,0.55,9.9,1
135,0.745,0.11,1.9,0.09,63.0,0.9965,3.19,0.82,9.6,0
136,0.715,0.15,1.8,0.089,52.0,0.9968,3.23,0.77,9.5,0
137,0.415,0.36,2.0,0.081,45.0,0.9972,3.48,0.64,9.2,0
138,0.56,0.19,2.1,0.081,105.0,0.9962,3.33,0.54,9.5,0
139,0.56,0.19,2.0,0.081,108.0,0.9962,3.32,0.54,9.5,0
142,0.34,0.0,1.8,0.05,63.0,0.9916,3.68,0.79,14.0,1
143,0.39,0.08,1.7,0.066,20.0,0.9954,3.34,0.58,9.4,0
145,0.67,0.55,1.8,0.1169999999999999,141.0,0.9968,3.17,0.62,9.4,0
146,0.68,0.02,1.8,0.087,94.0,0.9944,3.54,0.52,10.0,0
147,0.49,0.26,1.6,0.236,88.0,0.9968,3.11,0.8,9.3,0
148,0.49,0.1,2.3,0.074,30.0,0.9959,3.42,0.58,10.2,1
149,0.4,0.44,2.8,0.089,43.0,0.9975,3.53,0.61,10.5,1
150,0.33,0.47,2.1,0.077,11.0,0.9958,3.33,0.53,10.3,1
151,0.52,1.0,3.4,0.61,69.0,0.9996,2.74,2.0,9.4,0
152,0.6,0.03,1.8,0.095,99.0,0.995,3.35,0.54,10.1,0
154,0.43,0.42,5.5,0.07,129.0,0.9973,3.42,0.72,10.5,0
155,0.43,0.42,5.5,0.071,128.0,0.9973,3.42,0.71,10.5,0
158,0.68,0.0,2.2,0.073,22.0,0.9969,3.48,0.5,9.3,0
159,0.6,0.18,1.9,0.079,86.0,0.9968,3.59,0.57,9.3,1
160,0.95,0.03,2.0,0.09,20.0,0.9959,3.2,0.56,9.6,0
161,0.68,0.02,1.3,0.072,20.0,0.9965,3.17,1.08,9.2,0
162,0.53,0.04,1.7,0.076,31.0,0.9964,3.33,0.56,10.0,1
163,0.6,0.26,7.3,0.07,121.0,0.9982,3.37,0.49,9.4,0
164,0.59,0.26,7.2,0.07,121.0,0.9981,3.37,0.49,9.4,0
165,0.63,0.48,1.7,0.1,96.0,0.9961,3.19,0.62,9.5,0
166,0.64,0.1,2.1,0.085,101.0,0.9956,3.34,0.52,10.2,0
167,0.55,0.03,1.6,0.072,42.0,0.9956,3.37,0.48,9.0,0
168,0.63,0.07,2.1,0.089,44.0,0.9953,3.47,0.55,10.4,1
169,0.705,0.24,1.8,0.36,63.0,0.9964,3.0,1.59,9.5,0
170,0.885,0.03,1.8,0.0579999999999999,8.0,0.9972,3.36,0.33,9.1,0
171,0.42,0.17,2.0,0.073,18.0,0.9972,3.29,0.61,9.2,1
173,0.62,0.05,1.9,0.068,42.0,0.9961,3.42,0.57,11.5,1
174,0.38,0.21,2.0,0.08,35.0,0.9961,3.33,0.47,9.5,0
175,0.5,0.04,1.5,0.085,49.0,0.9958,3.35,0.78,9.5,0
177,0.52,0.42,2.3,0.087,38.0,0.9972,3.58,0.61,10.5,1
178,0.805,0.0,2.5,0.068,20.0,0.9969,3.48,0.56,9.6,0
179,0.61,0.14,2.4,0.067,42.0,0.9969,3.19,0.59,9.5,0
181,0.61,0.49,2.0,0.27,110.0,0.9972,3.12,1.02,9.3,0
182,0.73,0.02,2.5,0.076,42.0,0.9972,3.44,0.52,9.3,0
183,0.61,0.2,1.8,0.077,65.0,0.9971,3.54,0.58,9.3,0
184,0.62,0.21,1.9,0.079,62.0,0.997,3.52,0.58,9.3,1
185,0.31,0.57,2.0,0.111,85.0,0.9971,3.26,0.53,9.7,0
186,0.39,0.48,2.0,0.0819999999999999,67.0,0.9972,3.34,0.55,9.2,0
187,0.705,0.1,2.6,0.084,26.0,0.9976,3.39,0.49,9.7,0
188,0.5,0.33,2.0,0.084,143.0,0.9968,3.2,0.55,9.5,0
189,0.49,0.32,1.9,0.0819999999999999,144.0,0.9968,3.2,0.55,9.5,0
190,0.5,0.35,2.9,0.077,127.0,0.9976,3.23,0.62,9.4,0
191,0.37,0.25,1.9,0.074,49.0,0.9974,3.57,0.62,9.8,1
192,0.63,0.12,3.8,0.099,126.0,0.9969,3.28,0.61,9.5,0
193,0.55,0.21,2.2,0.071,28.0,0.9964,3.28,0.55,9.7,0
195,0.59,0.33,2.0,0.074,120.0,0.9968,3.25,0.54,9.4,0
196,0.58,0.3,2.4,0.074,55.0,0.9968,3.46,0.59,10.2,0
197,0.3,0.6,2.0,0.067,27.0,0.9981,3.11,0.97,10.1,1
198,0.835,0.08,1.2,0.046,93.0,0.9924,3.57,0.85,13.0,1
199,1.09,0.06,2.1,0.061,31.0,0.9948,3.51,0.43,11.4,0
200,0.32,0.47,1.4,0.0559999999999999,24.0,0.99695,3.22,0.82,10.3,1
201,0.37,0.48,2.1,0.0969999999999999,145.0,0.9975,3.04,1.03,9.3,0
202,0.5,0.11,1.5,0.075,49.0,0.99545,3.36,0.79,9.5,0
203,0.42,0.35,1.6,0.088,39.0,0.9961,3.34,0.55,9.2,0
204,0.43,0.36,1.6,0.089,37.0,0.99615,3.34,0.56,9.2,1
205,0.3,0.74,2.6,0.095,28.0,0.9994,3.2,0.77,10.8,1
207,0.57,0.31,1.8,0.069,120.0,0.99625,3.29,0.53,9.3,0
208,0.44,0.28,2.7,0.1,95.0,0.9966,3.22,0.67,9.4,0
209,0.3,0.58,2.1,0.054,19.0,0.998,3.31,0.88,10.5,1
210,0.53,0.6,2.0,0.039,19.0,0.99585,3.3,0.86,12.4,1
211,0.725,0.24,2.8,0.083,62.0,0.99685,3.35,0.56,10.0,1
212,0.44,0.64,2.1,0.059,15.0,0.998,3.21,0.67,10.2,1
213,0.57,0.26,2.2,0.06,65.0,0.9959,3.3,0.43,10.1,0
214,0.735,0.08,2.4,0.092,41.0,0.9974,3.24,0.71,9.8,1
215,0.49,0.49,5.6,0.06,121.0,0.9974,3.34,0.76,10.5,0
216,0.625,0.16,2.0,0.1009999999999999,49.0,0.9962,3.14,0.57,11.0,0
217,0.725,0.22,2.2,0.072,41.0,0.9967,3.36,0.55,9.1,0
218,0.49,0.19,1.9,0.076,44.0,0.9957,3.39,0.54,9.7,0
219,0.53,0.33,2.4,0.08,144.0,0.99655,3.3,0.6,9.5,0
220,0.34,0.37,2.0,0.0819999999999999,58.0,0.9964,3.34,0.59,9.4,1
221,0.53,0.26,2.0,0.1009999999999999,72.0,0.9957,3.15,0.57,9.4,0
222,0.61,0.04,1.5,0.057,10.0,0.99525,3.42,0.6,9.5,0
223,0.645,0.25,2.0,0.083,28.0,0.99815,3.28,0.6,10.0,1
224,0.635,0.36,2.0,0.089,55.0,0.99745,3.31,0.57,10.4,0
225,0.43,0.25,2.6,0.073,63.0,0.99615,3.37,0.58,10.5,1
226,0.59,0.5,2.0,0.337,81.0,0.9964,3.04,1.61,9.5,1
227,0.82,0.14,2.6,0.089,23.0,0.9984,3.39,0.63,9.8,0
229,0.52,0.25,2.6,0.081,37.0,0.99685,3.46,0.5,11.0,0
230,0.48,0.04,1.6,0.054,106.0,0.9927,3.54,0.62,12.2,1
231,0.38,0.06,1.8,0.078,49.0,0.99625,3.37,0.52,9.9,1
232,0.37,0.2,2.8,0.09,58.0,0.998,3.34,0.7,9.6,1
234,1.0,0.09,2.3,0.065,37.0,0.99685,3.32,0.55,9.0,1
235,0.63,0.0,1.9,0.0969999999999999,38.0,0.99675,3.37,0.58,9.0,1
237,0.645,0.0,1.9,0.0969999999999999,39.0,0.99675,3.37,0.58,9.2,1
240,0.635,0.37,1.7,0.263,62.0,0.9971,3.0,1.09,9.3,0
241,0.38,0.56,2.1,0.093,24.0,0.99925,3.14,0.71,10.9,1
242,0.58,0.1,1.8,0.102,109.0,0.99565,3.08,0.49,9.8,1
243,0.21,0.44,2.2,0.075,24.0,1.00005,3.07,0.84,9.2,1
245,0.66,0.0,2.0,0.084,23.0,0.9983,3.61,0.96,9.9,1
246,0.68,0.07,1.9,0.075,51.0,0.99685,3.38,0.52,9.5,0
247,0.6,0.17,2.3,0.072,73.0,0.9963,3.2,0.45,9.3,0
248,0.53,0.06,1.7,0.074,39.0,0.99615,3.35,0.48,9.8,1
250,0.32,0.44,1.6,0.063,37.0,0.9985,3.22,0.78,10.0,1
251,0.6,0.0,1.8,0.074,34.0,0.9972,3.47,0.7,9.9,1
252,0.35,0.48,3.1,0.09,21.0,0.9986,3.17,0.53,10.5,0
253,0.775,0.42,1.9,0.092,86.0,0.9959,3.23,0.59,9.5,0
255,0.57,0.23,3.2,0.073,119.0,0.99675,3.26,0.57,9.3,0
256,0.34,0.37,2.2,0.075,13.0,0.998,3.22,0.62,9.2,0
257,0.695,0.0,2.1,0.075,56.0,0.9968,3.49,0.67,9.2,0
258,0.41,0.76,1.8,0.611,45.0,0.9968,3.06,1.26,9.4,0
259,0.31,0.47,2.6,0.085,33.0,0.99965,3.36,0.8,10.5,1
260,0.33,0.23,1.7,0.077,45.0,0.99625,3.29,0.65,9.3,0
261,0.975,0.04,2.0,0.087,67.0,0.99565,3.35,0.6,9.4,0
262,0.52,0.03,1.7,0.07,35.0,0.99575,3.34,0.57,10.0,0
263,0.37,0.23,1.8,0.077,49.0,0.9963,3.28,0.67,9.3,0
264,0.56,0.49,2.4,0.064,27.0,0.9999,3.08,0.87,10.9,0
265,0.26,0.52,1.8,0.071,10.0,0.9968,3.2,0.72,10.2,1
266,0.87,0.0,3.3,0.096,61.0,1.00025,3.6,0.72,9.8,0
267,0.35,0.46,3.6,0.078,37.0,0.9973,3.35,0.86,12.8,1
268,0.54,0.04,3.0,0.077,27.0,0.9987,3.69,0.91,9.4,1
269,0.18,0.51,4.0,0.104,23.0,0.9996,3.28,0.97,10.1,1
270,0.545,0.06,4.0,0.087,61.0,0.9965,3.36,0.67,10.7,1
272,0.37,0.58,4.0,0.071,65.0,0.99935,3.22,0.78,10.1,0
273,0.715,0.2,2.4,0.076,38.0,0.99735,3.31,0.64,9.4,0
274,0.65,0.18,7.0,0.088,94.0,0.99915,3.38,0.77,9.4,0
278,0.32,0.45,6.4,0.073,13.0,0.9976,3.23,0.82,12.6,1
279,0.4,0.32,5.6,0.087,47.0,0.9991,3.38,0.77,10.5,1
280,0.26,0.44,3.6,0.071,19.0,0.9986,3.12,0.82,9.3,1
281,0.27,0.68,3.5,0.358,10.0,0.9972,3.25,1.08,9.9,1
282,0.52,0.12,3.0,0.067,53.0,0.9971,3.36,0.57,9.1,0
284,0.59,0.07,3.4,0.102,71.0,1.00015,3.31,0.71,9.8,0
286,0.45,0.55,2.0,0.073,49.0,0.9997,3.1,0.76,10.3,1
287,0.4,0.12,3.0,0.092,53.0,0.9967,3.37,0.7,10.3,1
288,0.52,0.09,2.5,0.091,49.0,0.9976,3.34,0.86,10.6,1
289,0.42,0.53,3.3,0.105,98.0,1.001,3.2,0.95,9.2,0
291,0.2,0.48,2.0,0.3429999999999999,18.0,0.9979,3.3,0.71,10.5,0
292,0.55,0.23,2.7,0.091,48.0,0.9994,3.22,0.64,10.3,1
293,0.36,0.25,2.4,0.098,16.0,0.9964,3.41,0.6,10.1,1
294,0.34,0.52,3.2,0.094,53.0,1.0014,3.05,0.81,9.5,1
295,0.5,0.46,2.5,0.073,27.0,1.0001,3.05,0.64,9.5,0
296,0.83,0.37,2.6,0.086,70.0,0.9981,3.16,0.52,9.9,0
297,0.63,0.06,2.0,0.083,29.0,0.99855,3.67,0.73,9.6,0
298,0.65,0.02,2.3,0.094,31.0,0.9993,3.67,0.8,9.7,0
299,0.67,0.06,2.1,0.08,33.0,0.99845,3.68,0.71,9.6,0
300,0.53,0.06,2.6,0.086,44.0,0.9965,3.38,0.59,10.7,1
301,0.18,0.48,1.5,0.068,15.0,0.9973,3.22,0.64,10.1,1
302,0.705,0.12,2.6,0.092,28.0,0.9994,3.51,0.72,10.0,0
303,0.67,0.12,1.6,0.186,21.0,0.996,3.39,0.54,9.5,0
304,0.65,0.6,2.1,0.1119999999999999,90.0,0.9973,3.2,0.52,9.2,0
305,0.53,0.48,2.5,0.063,25.0,0.9998,3.12,0.59,9.3,1
306,0.62,0.32,2.2,0.0819999999999999,54.0,0.9966,3.36,0.52,9.4,0
307,0.41,0.42,2.4,0.213,14.0,0.9994,3.19,0.62,9.5,1
308,0.43,0.44,2.4,0.214,12.0,0.9994,3.19,0.63,9.5,1
309,0.29,0.38,1.7,0.062,30.0,0.9968,3.41,0.53,9.5,1
311,0.53,0.24,2.0,0.072,105.0,0.996,3.27,0.54,9.4,1
312,0.46,0.31,2.8,0.093,98.0,0.99815,3.32,0.63,9.5,1
313,0.47,0.3,3.0,0.076,135.0,0.9976,3.3,0.53,9.4,0
314,0.36,0.29,2.6,0.087,72.0,0.99645,3.39,0.68,11.0,0
315,0.35,0.29,2.5,0.096,53.0,0.9962,3.42,0.65,11.0,1
316,0.56,0.23,3.4,0.102,92.0,0.9996,3.3,0.65,10.1,0
317,0.77,0.12,2.9,0.0819999999999999,74.0,0.99865,3.3,0.64,10.4,1
318,0.66,0.39,3.2,0.083,59.0,0.9989,3.37,0.71,11.5,1
321,0.61,0.26,3.4,0.09,87.0,0.99975,3.24,0.62,9.7,0
322,0.62,0.05,2.3,0.079,18.0,0.99735,3.29,0.63,9.3,0
323,0.59,0.42,2.8,0.09,73.0,0.999,3.28,0.7,9.5,1
324,0.49,0.2,11.0,0.071,50.0,1.0015,3.16,0.69,9.2,1
326,0.53,0.66,3.65,0.121,14.0,0.9978,3.05,0.74,11.5,1
327,0.44,0.5,4.5,0.107,13.0,0.998,3.28,0.83,11.5,0
328,0.27,0.62,2.6,0.0819999999999999,21.0,1.0002,3.16,0.67,9.7,1
329,0.46,0.39,2.0,0.061,15.0,0.9981,3.18,0.62,9.5,0
330,0.36,0.64,2.9,0.122,41.0,0.998,3.23,0.66,12.5,1
332,0.58,0.28,3.2,0.066,114.0,0.9973,3.22,0.54,9.4,1
333,0.56,0.08,2.1,0.105,44.0,0.9958,3.13,0.52,11.0,0
334,0.65,0.01,2.5,0.078,38.0,0.9963,3.34,0.74,11.7,1
335,0.695,0.53,3.4,0.128,21.0,0.9992,3.17,0.84,12.2,1
336,0.43,0.45,1.9,0.052,16.0,0.9948,3.35,0.7,12.5,1
337,0.43,0.32,2.8,0.08,58.0,0.9974,3.31,0.64,10.3,0
338,0.49,0.58,3.0,0.103,99.0,1.0008,3.16,1.0,11.5,1
339,0.28,0.54,2.3,0.0819999999999999,29.0,0.9997,3.11,1.36,9.8,1
340,0.34,0.5,2.4,0.066,21.0,1.0,3.12,1.18,9.2,1
341,0.42,0.48,2.7,0.065,18.0,0.9972,3.21,0.87,11.3,1
342,0.39,0.47,1.8,0.118,14.0,0.9982,3.3,0.75,9.8,1
344,0.57,0.5,2.6,0.0819999999999999,32.0,1.0006,3.12,0.78,10.7,1
345,0.685,0.0,1.9,0.067,63.0,0.9979,3.6,0.81,9.9,0
346,0.815,0.02,2.7,0.072,34.0,0.9955,3.58,0.89,12.3,1
347,0.49,0.67,3.0,0.093,15.0,0.9986,3.02,0.93,12.0,1
348,0.56,0.31,2.8,0.089,46.0,0.9979,3.11,0.92,10.0,1
349,0.785,0.0,2.6,0.093,28.0,0.9994,3.36,0.86,9.4,1
350,0.67,0.22,2.7,0.107,34.0,1.0004,3.28,0.98,9.9,1
351,0.795,0.0,2.6,0.096,26.0,0.9994,3.35,0.83,9.4,1
352,0.665,0.0,2.4,0.09,19.0,0.9974,3.27,0.73,9.3,0
353,0.53,0.79,4.8,0.12,77.0,1.0018,3.18,0.77,13.0,0
354,0.21,0.4,1.4,0.066,165.0,0.9912,3.25,0.59,11.9,1
355,0.75,0.01,2.4,0.078,32.0,0.9955,3.55,0.61,12.8,1
356,0.41,0.52,3.0,0.08,55.0,1.0001,3.26,0.88,11.0,0
357,0.42,0.66,2.95,0.1159999999999999,29.0,0.997,3.24,0.75,11.7,1
358,0.43,0.66,3.1,0.109,23.0,1.0,3.15,0.85,10.4,1
359,0.38,0.66,2.6,0.088,41.0,1.001,3.17,0.68,9.8,1
360,0.7,0.23,2.0,0.099,81.0,0.9973,3.19,0.7,9.4,0
361,0.45,0.31,2.6,0.086,50.0,0.9982,3.37,0.91,9.9,1
362,0.58,0.66,2.5,0.072,37.0,0.9992,3.05,0.56,10.0,0
363,0.46,0.63,2.0,0.071,15.0,0.9988,2.99,0.87,10.2,0
364,0.615,0.66,5.8,0.083,42.0,1.0022,3.07,0.73,10.0,1
365,0.42,0.5,3.4,0.107,21.0,0.9979,3.26,0.93,11.8,1
367,0.575,0.61,2.6,0.076,24.0,1.0,3.16,0.69,9.0,0
368,0.34,0.52,2.8,0.159,75.0,0.9998,3.18,0.64,9.4,0
369,0.27,0.53,2.4,0.074,18.0,0.9962,3.2,1.13,12.0,1
370,0.765,0.02,2.3,0.063,63.0,0.9975,3.57,0.78,9.9,0
371,0.24,0.4,1.6,0.0559999999999999,25.0,0.9967,3.32,0.87,8.7,1
372,0.28,0.48,1.8,0.067,46.0,0.9967,3.32,1.04,10.6,1
373,0.55,0.22,2.2,0.106,72.0,0.9959,3.05,0.63,9.2,0
374,0.41,0.63,3.8,0.089,47.0,1.0014,3.01,0.81,10.8,1
375,0.54,0.71,4.4,0.124,15.0,0.9984,3.01,0.83,11.8,1
376,0.45,0.5,3.0,0.078,47.0,1.0003,3.26,1.11,11.0,1
378,0.625,0.66,6.2,0.088,24.0,0.9988,3.11,0.99,13.3,1
379,0.42,0.38,2.5,0.094,60.0,0.9979,3.31,0.7,10.8,1
380,0.26,0.42,2.0,0.08,27.0,0.9974,3.21,0.8,9.4,1
381,0.415,0.68,2.9,0.085,43.0,1.0014,3.06,0.8,10.0,1
