Unnamed: 0,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
103,0.575,0.22,2.1,0.077,65.0,0.9967,3.29,0.51,9.2,0
104,0.49,0.24,2.2,0.07,36.0,0.996,3.33,0.48,9.4,0
107,0.63,0.31,1.7,0.088,64.0,0.9969,3.46,0.79,9.3,0
108,0.33,0.53,2.5,0.091,80.0,0.9976,3.37,0.8,9.6,1
110,0.56,0.19,1.8,0.104,47.0,0.9964,3.19,0.93,9.5,0
111,0.62,0.09,2.2,0.084,108.0,0.9964,3.15,0.66,9.8,0
112,0.6,0.1,2.2,0.085,111.0,0.9964,3.15,0.66,9.8,0
113,0.31,0.44,2.3,0.08,46.0,0.9988,3.32,0.67,9.7,1
115,0.4,0.31,2.2,0.09,62.0,0.9966,3.07,0.63,10.5,1
116,0.54,0.28,1.9,0.077,40.0,0.9978,3.39,0.61,10.0,1
117,0.56,0.12,2.0,0.0819999999999999,28.0,0.997,3.37,0.5,9.4,1
118,0.55,0.04,2.2,0.119,56.0,0.9962,3.21,0.6,10.9,1
119,0.69,0.08,1.8,0.0969999999999999,89.0,0.9959,3.34,0.54,9.2,1
122,0.695,0.0,2.5,0.075,13.0,0.998,3.49,0.52,9.2,0
123,0.71,0.0,2.6,0.08,34.0,0.9976,3.44,0.53,9.5,0
124,0.5,0.17,1.6,0.0819999999999999,102.0,0.996,3.39,0.48,9.5,0
128,0.59,0.16,1.8,0.065,16.0,0.9962,3.42,0.92,10.5,1
129,0.38,0.15,1.8,0.072,19.0,0.9955,3.42,0.57,9.4,0
131,0.5,0.09,2.3,0.049,99.0,0.9937,3.63,0.63,13.0,0
133,0.5,0.01,1.5,0.06,26.0,0.9952,3.4,0.58,9.8,1
135,0.745,0.11,1.9,0.09,63.0,0.9965,3.19,0.82,9.6,0
136,0.715,0.15,1.8,0.089,52.0,0.9968,3.23,0.77,9.5,0
137,0.415,0.36,2.0,0.081,45.0,0.9972,3.48,0.64,9.2,0
138,0.56,0.19,2.1,0.081,105.0,0.9962,3.33,0.54,9.5,0
139,0.56,0.19,2.0,0.081,108.0,0.9962,3.32,0.54,9.5,0
143,0.39,0.08,1.7,0.066,20.0,0.9954,3.34,0.58,9.4,0
146,0.68,0.02,1.8,0.087,94.0,0.9944,3.54,0.52,10.0,0
148,0.49,0.1,2.3,0.074,30.0,0.9959,3.42,0.58,10.2,1
149,0.4,0.44,2.8,0.089,43.0,0.9975,3.53,0.61,10.5,1
150,0.33,0.47,2.1,0.077,11.0,0.9958,3.33,0.53,10.3,1
152,0.6,0.03,1.8,0.095,99.0,0.995,3.35,0.54,10.1,0
158,0.68,0.0,2.2,0.073,22.0,0.9969,3.48,0.5,9.3,0
159,0.6,0.18,1.9,0.079,86.0,0.9968,3.59,0.57,9.3,1
160,0.95,0.03,2.0,0.09,20.0,0.9959,3.2,0.56,9.6,0
162,0.53,0.04,1.7,0.076,31.0,0.9964,3.33,0.56,10.0,1
165,0.63,0.48,1.7,0.1,96.0,0.9961,3.19,0.62,9.5,0
166,0.64,0.1,2.1,0.085,101.0,0.9956,3.34,0.52,10.2,0
167,0.55,0.03,1.6,0.072,42.0,0.9956,3.37,0.48,9.0,0
168,0.63,0.07,2.1,0.089,44.0,0.9953,3.47,0.55,10.4,1
170,0.885,0.03,1.8,0.0579999999999999,8.0,0.9972,3.36,0.33,9.1,0
171,0.42,0.17,2.0,0.073,18.0,0.9972,3.29,0.61,9.2,1
173,0.62,0.05,1.9,0.068,42.0,0.9961,3.42,0.57,11.5,1
174,0.38,0.21,2.0,0.08,35.0,0.9961,3.33,0.47,9.5,0
175,0.5,0.04,1.5,0.085,49.0,0.9958,3.35,0.78,9.5,0
177,0.52,0.42,2.3,0.087,38.0,0.9972,3.58,0.61,10.5,1
178,0.805,0.0,2.5,0.068,20.0,0.9969,3.48,0.56,9.6,0
179,0.61,0.14,2.4,0.067,42.0,0.9969,3.19,0.59,9.5,0
182,0.73,0.02,2.5,0.076,42.0,0.9972,3.44,0.52,9.3,0
183,0.61,0.2,1.8,0.077,65.0,0.9971,3.54,0.58,9.3,0
184,0.62,0.21,1.9,0.079,62.0,0.997,3.52,0.58,9.3,1
185,0.31,0.57,2.0,0.111,85.0,0.9971,3.26,0.53,9.7,0
186,0.39,0.48,2.0,0.0819999999999999,67.0,0.9972,3.34,0.55,9.2,0
187,0.705,0.1,2.6,0.084,26.0,0.9976,3.39,0.49,9.7,0
191,0.37,0.25,1.9,0.074,49.0,0.9974,3.57,0.62,9.8,1
193,0.55,0.21,2.2,0.071,28.0,0.9964,3.28,0.55,9.7,0
195,0.59,0.33,2.0,0.074,120.0,0.9968,3.25,0.54,9.4,0
196,0.58,0.3,2.4,0.074,55.0,0.9968,3.46,0.59,10.2,0
197,0.3,0.6,2.0,0.067,27.0,0.9981,3.11,0.97,10.1,1
198,0.835,0.08,1.2,0.046,93.0,0.9924,3.57,0.85,13.0,1
200,0.32,0.47,1.4,0.0559999999999999,24.0,0.99695,3.22,0.82,10.3,1
202,0.5,0.11,1.5,0.075,49.0,0.99545,3.36,0.79,9.5,0
203,0.42,0.35,1.6,0.088,39.0,0.9961,3.34,0.55,9.2,0
204,0.43,0.36,1.6,0.089,37.0,0.99615,3.34,0.56,9.2,1
205,0.3,0.74,2.6,0.095,28.0,0.9994,3.2,0.77,10.8,1
207,0.57,0.31,1.8,0.069,120.0,0.99625,3.29,0.53,9.3,0
208,0.44,0.28,2.7,0.1,95.0,0.9966,3.22,0.67,9.4,0
209,0.3,0.58,2.1,0.054,19.0,0.998,3.31,0.88,10.5,1
210,0.53,0.6,2.0,0.039,19.0,0.99585,3.3,0.86,12.4,1
211,0.725,0.24,2.8,0.083,62.0,0.99685,3.35,0.56,10.0,1
212,0.44,0.64,2.1,0.059,15.0,0.998,3.21,0.67,10.2,1
213,0.57,0.26,2.2,0.06,65.0,0.9959,3.3,0.43,10.1,0
214,0.735,0.08,2.4,0.092,41.0,0.9974,3.24,0.71,9.8,1
216,0.625,0.16,2.0,0.1009999999999999,49.0,0.9962,3.14,0.57,11.0,0
217,0.725,0.22,2.2,0.072,41.0,0.9967,3.36,0.55,9.1,0
218,0.49,0.19,1.9,0.076,44.0,0.9957,3.39,0.54,9.7,0
220,0.34,0.37,2.0,0.0819999999999999,58.0,0.9964,3.34,0.59,9.4,1
221,0.53,0.26,2.0,0.1009999999999999,72.0,0.9957,3.15,0.57,9.4,0
222,0.61,0.04,1.5,0.057,10.0,0.99525,3.42,0.6,9.5,0
223,0.645,0.25,2.0,0.083,28.0,0.99815,3.28,0.6,10.0,1
224,0.635,0.36,2.0,0.089,55.0,0.99745,3.31,0.57,10.4,0
225,0.43,0.25,2.6,0.073,63.0,0.99615,3.37,0.58,10.5,1
227,0.82,0.14,2.6,0.089,23.0,0.9984,3.39,0.63,9.8,0
229,0.52,0.25,2.6,0.081,37.0,0.99685,3.46,0.5,11.0,0
230,0.48,0.04,1.6,0.054,106.0,0.9927,3.54,0.62,12.2,1
231,0.38,0.06,1.8,0.078,49.0,0.99625,3.37,0.52,9.9,1
232,0.37,0.2,2.8,0.09,58.0,0.998,3.34,0.7,9.6,1
234,1.0,0.09,2.3,0.065,37.0,0.99685,3.32,0.55,9.0,1
235,0.63,0.0,1.9,0.0969999999999999,38.0,0.99675,3.37,0.58,9.0,1
237,0.645,0.0,1.9,0.0969999999999999,39.0,0.99675,3.37,0.58,9.2,1
241,0.38,0.56,2.1,0.093,24.0,0.99925,3.14,0.71,10.9,1
242,0.58,0.1,1.8,0.102,109.0,0.99565,3.08,0.49,9.8,1
243,0.21,0.44,2.2,0.075,24.0,1.00005,3.07,0.84,9.2,1
245,0.66,0.0,2.0,0.084,23.0,0.9983,3.61,0.96,9.9,1
246,0.68,0.07,1.9,0.075,51.0,0.99685,3.38,0.52,9.5,0
247,0.6,0.17,2.3,0.072,73.0,0.9963,3.2,0.45,9.3,0
248,0.53,0.06,1.7,0.074,39.0,0.99615,3.35,0.48,9.8,1
250,0.32,0.44,1.6,0.063,37.0,0.9985,3.22,0.78,10.0,1
251,0.6,0.0,1.8,0.074,34.0,0.9972,3.47,0.7,9.9,1
252,0.35,0.48,3.1,0.09,21.0,0.9986,3.17,0.53,10.5,0
253,0.775,0.42,1.9,0.092,86.0,0.9959,3.23,0.59,9.5,0
255,0.57,0.23,3.2,0.073,119.0,0.99675,3.26,0.57,9.3,0
256,0.34,0.37,2.2,0.075,13.0,0.998,3.22,0.62,9.2,0
257,0.695,0.0,2.1,0.075,56.0,0.9968,3.49,0.67,9.2,0
259,0.31,0.47,2.6,0.085,33.0,0.99965,3.36,0.8,10.5,1
260,0.33,0.23,1.7,0.077,45.0,0.99625,3.29,0.65,9.3,0
261,0.975,0.04,2.0,0.087,67.0,0.99565,3.35,0.6,9.4,0
262,0.52,0.03,1.7,0.07,35.0,0.99575,3.34,0.57,10.0,0
263,0.37,0.23,1.8,0.077,49.0,0.9963,3.28,0.67,9.3,0
264,0.56,0.49,2.4,0.064,27.0,0.9999,3.08,0.87,10.9,0
265,0.26,0.52,1.8,0.071,10.0,0.9968,3.2,0.72,10.2,1
266,0.87,0.0,3.3,0.096,61.0,1.00025,3.6,0.72,9.8,0
267,0.35,0.46,3.6,0.078,37.0,0.9973,3.35,0.86,12.8,1
273,0.715,0.2,2.4,0.076,38.0,0.99735,3.31,0.64,9.4,0
280,0.26,0.44,3.6,0.071,19.0,0.9986,3.12,0.82,9.3,1
282,0.52,0.12,3.0,0.067,53.0,0.9971,3.36,0.57,9.1,0
284,0.59,0.07,3.4,0.102,71.0,1.00015,3.31,0.71,9.8,0
286,0.45,0.55,2.0,0.073,49.0,0.9997,3.1,0.76,10.3,1
287,0.4,0.12,3.0,0.092,53.0,0.9967,3.37,0.7,10.3,1
288,0.52,0.09,2.5,0.091,49.0,0.9976,3.34,0.86,10.6,1
289,0.42,0.53,3.3,0.105,98.0,1.001,3.2,0.95,9.2,0
292,0.55,0.23,2.7,0.091,48.0,0.9994,3.22,0.64,10.3,1
293,0.36,0.25,2.4,0.098,16.0,0.9964,3.41,0.6,10.1,1
295,0.5,0.46,2.5,0.073,27.0,1.0001,3.05,0.64,9.5,0
296,0.83,0.37,2.6,0.086,70.0,0.9981,3.16,0.52,9.9,0
297,0.63,0.06,2.0,0.083,29.0,0.99855,3.67,0.73,9.6,0
298,0.65,0.02,2.3,0.094,31.0,0.9993,3.67,0.8,9.7,0
299,0.67,0.06,2.1,0.08,33.0,0.99845,3.68,0.71,9.6,0
300,0.53,0.06,2.6,0.086,44.0,0.9965,3.38,0.59,10.7,1
301,0.18,0.48,1.5,0.068,15.0,0.9973,3.22,0.64,10.1,1
302,0.705,0.12,2.6,0.092,28.0,0.9994,3.51,0.72,10.0,0
304,0.65,0.6,2.1,0.1119999999999999,90.0,0.9973,3.2,0.52,9.2,0
305,0.53,0.48,2.5,0.063,25.0,0.9998,3.12,0.59,9.3,1
306,0.62,0.32,2.2,0.0819999999999999,54.0,0.9966,3.36,0.52,9.4,0
309,0.29,0.38,1.7,0.062,30.0,0.9968,3.41,0.53,9.5,1
311,0.53,0.24,2.0,0.072,105.0,0.996,3.27,0.54,9.4,1
312,0.46,0.31,2.8,0.093,98.0,0.99815,3.32,0.63,9.5,1
314,0.36,0.29,2.6,0.087,72.0,0.99645,3.39,0.68,11.0,0
315,0.35,0.29,2.5,0.096,53.0,0.9962,3.42,0.65,11.0,1
316,0.56,0.23,3.4,0.102,92.0,0.9996,3.3,0.65,10.1,0
317,0.77,0.12,2.9,0.0819999999999999,74.0,0.99865,3.3,0.64,10.4,1
318,0.66,0.39,3.2,0.083,59.0,0.9989,3.37,0.71,11.5,1
321,0.61,0.26,3.4,0.09,87.0,0.99975,3.24,0.62,9.7,0
322,0.62,0.05,2.3,0.079,18.0,0.99735,3.29,0.63,9.3,0
323,0.59,0.42,2.8,0.09,73.0,0.999,3.28,0.7,9.5,1
326,0.53,0.66,3.65,0.121,14.0,0.9978,3.05,0.74,11.5,1
328,0.27,0.62,2.6,0.0819999999999999,21.0,1.0002,3.16,0.67,9.7,1
329,0.46,0.39,2.0,0.061,15.0,0.9981,3.18,0.62,9.5,0
330,0.36,0.64,2.9,0.122,41.0,0.998,3.23,0.66,12.5,1
332,0.58,0.28,3.2,0.066,114.0,0.9973,3.22,0.54,9.4,1
333,0.56,0.08,2.1,0.105,44.0,0.9958,3.13,0.52,11.0,0
334,0.65,0.01,2.5,0.078,38.0,0.9963,3.34,0.74,11.7,1
336,0.43,0.45,1.9,0.052,16.0,0.9948,3.35,0.7,12.5,1
337,0.43,0.32,2.8,0.08,58.0,0.9974,3.31,0.64,10.3,0
341,0.42,0.48,2.7,0.065,18.0,0.9972,3.21,0.87,11.3,1
342,0.39,0.47,1.8,0.118,14.0,0.9982,3.3,0.75,9.8,1
344,0.57,0.5,2.6,0.0819999999999999,32.0,1.0006,3.12,0.78,10.7,1
345,0.685,0.0,1.9,0.067,63.0,0.9979,3.6,0.81,9.9,0
346,0.815,0.02,2.7,0.072,34.0,0.9955,3.58,0.89,12.3,1
347,0.49,0.67,3.0,0.093,15.0,0.9986,3.02,0.93,12.0,1
348,0.56,0.31,2.8,0.089,46.0,0.9979,3.11,0.92,10.0,1
349,0.785,0.0,2.6,0.093,28.0,0.9994,3.36,0.86,9.4,1
350,0.67,0.22,2.7,0.107,34.0,1.0004,3.28,0.98,9.9,1
351,0.795,0.0,2.6,0.096,26.0,0.9994,3.35,0.83,9.4,1
352,0.665,0.0,2.4,0.09,19.0,0.9974,3.27,0.73,9.3,0
355,0.75,0.01,2.4,0.078,32.0,0.9955,3.55,0.61,12.8,1
356,0.41,0.52,3.0,0.08,55.0,1.0001,3.26,0.88,11.0,0
357,0.42,0.66,2.95,0.1159999999999999,29.0,0.997,3.24,0.75,11.7,1
358,0.43,0.66,3.1,0.109,23.0,1.0,3.15,0.85,10.4,1
359,0.38,0.66,2.6,0.088,41.0,1.001,3.17,0.68,9.8,1
360,0.7,0.23,2.0,0.099,81.0,0.9973,3.19,0.7,9.4,0
361,0.45,0.31,2.6,0.086,50.0,0.9982,3.37,0.91,9.9,1
362,0.58,0.66,2.5,0.072,37.0,0.9992,3.05,0.56,10.0,0
363,0.46,0.63,2.0,0.071,15.0,0.9988,2.99,0.87,10.2,0
365,0.42,0.5,3.4,0.107,21.0,0.9979,3.26,0.93,11.8,1
367,0.575,0.61,2.6,0.076,24.0,1.0,3.16,0.69,9.0,0
370,0.765,0.02,2.3,0.063,63.0,0.9975,3.57,0.78,9.9,0
371,0.24,0.4,1.6,0.0559999999999999,25.0,0.9967,3.32,0.87,8.7,1
373,0.55,0.22,2.2,0.106,72.0,0.9959,3.05,0.63,9.2,0
379,0.42,0.38,2.5,0.094,60.0,0.9979,3.31,0.7,10.8,1
380,0.26,0.42,2.0,0.08,27.0,0.9974,3.21,0.8,9.4,1
384,0.51,0.28,2.1,0.087,54.0,0.998,3.42,0.74,9.2,0
385,0.63,0.07,2.4,0.09,37.0,0.9979,3.43,0.76,9.7,1
386,0.54,0.26,2.0,0.088,48.0,0.9981,3.41,0.74,9.2,1
387,0.66,0.15,1.9,0.079,42.0,0.9972,3.31,0.54,9.6,1
388,0.46,0.26,1.9,0.088,53.0,0.9981,3.43,0.74,9.2,1
389,0.38,0.31,2.5,0.096,49.0,0.9982,3.19,0.7,10.0,1
390,0.85,0.05,1.4,0.045,88.0,0.9924,3.56,0.82,12.9,1
392,0.37,0.52,2.0,0.0819999999999999,26.0,0.998,3.18,0.51,9.5,0
393,0.665,0.61,2.0,0.1119999999999999,95.0,0.997,3.16,0.54,9.1,0
394,0.6,0.65,2.3,0.063,25.0,0.9997,3.03,0.57,9.9,0
397,0.59,0.59,2.6,0.087,49.0,0.9988,3.18,0.65,11.0,1
399,0.765,0.22,2.3,0.064,42.0,0.9963,3.1,0.55,9.4,0
401,0.26,0.3,1.7,0.059,38.0,0.9949,3.29,0.47,10.8,1
402,0.48,0.54,2.6,0.085,64.0,1.0,3.1,0.61,10.5,1
403,0.6,0.49,2.7,0.085,41.0,0.9994,3.15,0.63,10.5,1
404,0.69,0.05,2.7,0.075,27.0,0.9974,3.26,0.61,9.1,0
405,0.31,0.46,1.4,0.059,25.0,0.9966,3.36,0.76,10.1,1
406,0.44,0.47,2.5,0.063,28.0,0.9981,3.24,0.65,10.8,1
407,0.39,0.66,3.0,0.093,30.0,0.9996,3.18,0.63,10.8,1
410,0.43,0.34,2.5,0.08,86.0,0.9987,3.38,0.62,9.5,1
411,0.45,0.35,2.4,0.08,78.0,0.9987,3.38,0.62,9.5,0
412,0.735,0.16,1.9,0.1,77.0,0.9966,3.27,0.64,9.3,0
414,0.52,0.34,2.7,0.087,122.0,0.9982,3.26,0.61,9.5,0
416,0.48,0.64,2.2,0.111,20.0,0.997,3.26,0.66,11.7,1
417,0.58,0.12,1.9,0.091,124.0,0.9956,3.44,0.48,10.5,0
418,0.38,0.51,2.0,0.121,20.0,0.9996,3.24,0.76,10.4,1
419,0.77,0.0,1.8,0.066,52.0,0.9976,3.62,0.68,9.9,0
420,0.56,0.33,2.4,0.089,67.0,0.9972,3.28,0.73,11.8,1
421,0.84,0.03,2.3,0.059,48.0,0.9952,3.52,0.56,12.3,1
422,0.96,0.2,2.0,0.047,60.0,0.9955,3.36,0.44,10.9,0
423,0.24,0.47,2.1,0.066,24.0,0.9978,3.15,0.9,11.0,1
426,0.67,0.08,2.1,0.045,48.0,0.9949,3.49,0.49,11.4,1
427,0.78,0.22,1.9,0.077,32.0,0.9988,3.26,0.56,10.6,1
428,0.52,0.33,1.3,0.07,30.0,0.9978,3.24,0.6,9.3,0
429,0.84,0.63,2.4,0.088,35.0,0.9997,3.1,0.6,10.4,1
431,0.55,0.35,2.2,0.074,66.0,0.9974,3.25,0.56,9.2,0
432,0.37,0.69,2.3,0.078,24.0,0.9958,3.0,0.65,12.8,1
433,0.39,0.63,2.3,0.091,18.0,1.0004,3.16,0.49,9.5,0
434,0.41,0.55,3.2,0.076,54.0,0.9996,3.15,0.89,9.9,1
436,0.67,0.3,2.0,0.06,62.0,0.9958,3.26,0.56,10.2,1
437,0.45,0.73,3.2,0.066,22.0,0.9986,3.17,0.66,11.2,1
439,0.62,0.18,1.5,0.062,50.0,0.9951,3.08,0.6,9.3,0
441,0.4,0.65,2.15,0.068,27.0,0.9988,3.06,0.68,11.3,1
443,0.44,0.49,2.7,0.077,19.0,0.9963,3.23,0.63,11.6,1
444,0.57,0.01,1.7,0.054,27.0,0.9934,3.57,0.84,12.5,1
445,0.735,0.1,2.1,0.079,31.0,0.9986,3.23,0.56,10.1,1
446,0.38,0.6,2.6,0.081,72.0,0.9996,3.1,0.73,10.5,0
448,0.53,0.22,2.0,0.1,27.0,0.9967,3.2,0.56,10.2,1
449,0.39,0.69,2.8,0.095,35.0,0.9994,3.1,0.61,10.8,1
452,0.56,0.03,1.7,0.084,35.0,0.9968,3.44,0.63,10.0,1
453,0.33,0.63,2.8,0.084,22.0,0.9998,3.26,0.74,11.2,1
454,0.23,0.4,1.6,0.063,67.0,0.9952,3.5,0.63,11.1,0
456,0.59,0.39,2.3,0.095,22.0,0.9986,3.37,0.58,10.3,0
457,0.63,0.21,2.7,0.0969999999999999,65.0,0.9988,3.28,0.58,9.6,0
459,0.58,0.66,2.2,0.074,47.0,1.0008,3.25,0.57,9.0,0
460,0.43,0.52,2.3,0.083,23.0,0.9976,3.35,0.61,11.3,1
461,0.615,0.22,2.6,0.087,19.0,0.9982,3.26,0.61,9.3,0
462,0.26,0.68,2.55,0.085,25.0,0.997,3.18,0.61,11.8,0
464,0.315,0.54,2.1,0.084,15.0,0.9987,2.98,0.7,9.2,1
465,0.29,0.4,2.9,0.098,26.0,1.0006,3.48,0.91,9.7,0
466,0.5,0.42,2.0,0.069,51.0,0.9982,3.16,0.72,11.5,1
468,0.36,0.69,2.1,0.09,21.0,1.0,3.17,0.62,9.2,1
469,0.82,0.02,1.2,0.07,48.0,0.9952,3.2,0.58,9.8,0
470,0.32,0.65,2.6,0.093,47.0,0.9996,3.05,0.61,10.6,0
471,0.54,0.42,2.4,0.081,52.0,0.997,3.2,0.71,11.4,1
472,0.37,0.55,2.6,0.083,68.0,0.9995,3.15,0.82,10.4,1
473,0.35,0.55,2.1,0.062,14.0,0.9971,3.26,0.79,10.6,0
474,0.28,0.51,1.7,0.08,24.0,0.9982,3.2,0.89,9.4,1
475,0.68,0.24,2.2,0.087,28.0,0.9988,3.14,0.6,10.2,0
476,0.27,0.41,2.0,0.091,16.0,0.998,3.28,0.7,9.7,0
479,0.685,0.11,2.7,0.077,31.0,0.9984,3.19,0.7,10.1,1
481,0.3,0.56,2.8,0.08,17.0,0.9964,3.15,0.92,11.7,1
485,0.67,0.39,1.9,0.054,17.0,0.9976,3.17,0.47,10.0,0
487,0.645,0.36,1.8,0.053,14.0,0.9982,3.17,0.42,10.0,1
488,0.32,0.55,2.8,0.081,67.0,1.0002,3.32,0.92,10.8,1
489,0.39,0.4,2.6,0.073,26.0,0.9984,3.34,0.75,10.2,1
490,0.775,0.27,2.8,0.078,56.0,0.9984,3.31,0.67,10.6,1
491,0.41,0.5,2.5,0.055,25.0,0.9952,3.34,0.79,13.3,1
492,0.4,0.51,2.6,0.052,27.0,0.995,3.32,0.9,13.4,1
493,0.69,0.31,3.0,0.086,81.0,1.0002,3.48,0.74,11.6,1
495,0.35,0.53,2.6,0.07,16.0,0.9972,3.15,0.65,11.0,1
496,0.52,0.25,1.9,0.081,38.0,0.9984,3.43,0.65,9.0,1
497,0.34,0.32,2.5,0.09,113.0,0.9966,3.32,0.79,11.1,0
505,0.49,0.63,2.9,0.072,26.0,0.9968,3.16,0.78,12.5,1
507,0.67,0.55,2.3,0.084,13.0,1.0,3.17,0.71,9.5,1
508,0.59,0.31,2.2,0.09,62.0,0.9994,3.18,0.63,10.2,1
509,0.29,0.75,2.8,0.084,43.0,0.9986,3.04,0.68,11.4,1
513,0.51,0.64,2.4,0.107,15.0,0.9973,3.09,0.66,11.8,1
